Serial Number,Location,City,Lat,Lon,Installation Type,ASTI Serial Code,Date of Deployment
173457,ASTI,Quezon City,14.647200,121.071900,Roof Deck,ULAT-P01,28-Jun-18
173456,MMDA EFCOS,"Rosario, Pasig City",14.5986,121.0891,Roof Deck,ULAT-PO2,21-Nov-18
173458,Tapayan Pumping Station,Rizal,14.541300,121.115700,Roof Deck,ULAT-PO3,22-Nov-18
173459,San Andres Pumping Station,Manila,14.634200,120.978300,Roof Deck,ULAT-P04,23-Nov-18
174730,DOST Compound ,"Bicutan, Taguig",14.2937,121.0312,Ground,ULAT-P05,22-Jan-19
174722,De La Salle Araneta University,Malabon,14.647200,121.071900,Ground ,ULAT-P06,24-Jan-19
174723,MMDA Catmon,Malabon,14.402300,120.5731,Ground,ULAT-P07,28-Jan-19
174729,CAAP,Pasay,14.308400,121.002600,Roof Deck,ULAT-P08,29-Jan-19
174725,Brgy. Punturin,Valenzuela,14.444500,120.593900,Ground ,ULAT-P09,11-Feb-19
174727,Brgy. Ugong,Valenzuela,14.416400,121.005100,Ground ,ULAT-P10,11-Feb-19
174734,VCDRRMO BLDG,Valenzuela,14.416000,120.5809,Roof Deck,ULAT-P11,13-Feb-19
174733,Dr.Filemon HS,Las Piñas City,14.263000,121.005800,Roof Deck,ULAT-P12,18-Feb-19
174724,Brgy. Elias Aldana,Las Piñas City,14.286600,120.587900,Roof Deck,ULAT-P13,20-Feb-19
174726,Las Piñas Science High School,Las Piñas City,14.433080,120.984460,Ground ,ULAT-P14,21-Feb-19
174728,MMDA Balut pumping station,"Tondo, Manila",14.377800,120.581200,Roof Deck,ULAT-P15,28-Feb-19
181290,RAVE Pasig City,Pasig City,14.343700,121.058400,Ground ,ULAT-P16,06-Mar-19
174732,RED Pasig City,Pasig City,14.342100,121.049000,Roofdeck,ULAT-P17,07-Mar-19
181289,MMDA Libertad PS,Pasay City,14.5448,120.989300,Roofdeck,ULAT-P18,11-Mar-19
174731,Brgy. Bagbaguin,Valenzuela City,14.428000,121.000500,Ground ,ULAT-P19,13-Mar-19
181288,Centennial Park,Navotas City,14.390500,120.5685,Roofdeck,ULAT-P20,14-Mar-19
181283,Bayanan Elementary School,Muntinlupa City,14.247100,121.0313,Roofdeck,ULAT-P21,02-Apr-19
181287,Unibersidad de Manila (UDM),Manila,14.591654,120.981564,Roofdeck,ULAT-P22,22-May-19
181286,Anabu I-B,"Imus, Cavite",14.396169,120.939859,Roofdeck,ULAT-P23,06-Jun-19
181285,Xavier School,San Juan,14.362300,121.024300,Roofdeck,ULAT-P24,08-Jul-19
181274,"E. Library, Technological College, Pateros City",Pateros,14.328050,121.039941,Roofdeck,ULAT-P25,11-Jul-19
181284,C3 Bldg. Mandaluyong,Mandaluyong,14.346136,121.020080,Roofdeck,ULAT-P26,15-Aug-19
181294,Colegio de Muntinlupa,Muntinlupa City,14.274461,121.030793,Roofdeck,ULAT-P27,03-Sep-19
181292,NAMRIA,Taguig City,14.535481,121.040907,Roofdeck,ULAT-P28,05-Sep-19
181272,Technological University of the Philippines (TUP),Taguig City,14.306415,121.0214911,Ground ,ULAT-P29,02-Oct-19
181293,NBP Reservation Sunken Garden,Muntinlupa City,14.230187,121.020244,Ground ,ULAT-P30,11-Oct-19
174735,PAGASA Science Garden,Quezon City,14.386953,121.026621,Ground ,ULAT-P31,17-Oct-19
181291,"Greenheights Subdivision,",Parañaque City,14.283659,121.011102,Ground ,ULAT-P32,15-Nov-19
181271,Quezon City Science High School,Quezon City,14.395372,121.017943,Ground ,ULAT-P33,16-Dec-19
181273,Brgy. Nagkaisang Nayon,Quezon City,14.719275,121.028656,Roofdeck,ULAT-P34,28-Jan-20
